CAZy	Description
AA0	
AA10	AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); some proteins have been shown to act on chitin, others on cellulose; lytic cellulose monooxygenase (C1-hydroxylating) (EC 1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating)(EC 1.14.99.56); lytic chitin monooxygenase (EC 1.14.99.53); lytic xylan monooxygenase / xylan oxidase (glycosidic bond-cleaving) (EC 1.14.99.-)
AA11	AA11 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of chitin chains with oxidation of C-1 has been demonstrated for a AA11 LPMO from Aspergillus oryzae;
AA12	The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea. 
AA13	AA13 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of starch with oxidation of C-1 at the site of cleavage has been demonstrated for the LPMO encoded by gene NCU08746 from Neurospora crassa;; lytic starch monooxygenase / starch oxidase (glycosidic bond-cleaving) (EC 1.14.99.55)
AA14	AA14 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of xylan with oxidation of C-1 has been demonstrated for two AA14 LPMOs from Trametes coccinea (Pycnoporus coccineus); lytic xylan monooxygenase / xylan oxidase (glycosidic bond-cleaving) (EC 1.14.99.-)
AA15	lytic cellulose monooxygenase (C1-hydroxylating) (EC 1.14.99.54); lytic chitin monooxygenase (EC 1.14.99.53)
AA16	Lytic cellulose monooxygenase (C1-hydroxylating) (EC 1.14.99.54)
AA1	Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-)
AA2	manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-); cytochrome-c peroxidase (EC 1.11.1.5); ascorbate peroxidase (EC 1.11.1.11)
AA3	cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10)
AA4	vanillyl-alcohol oxidase (EC 1.1.3.38)
